Я0313    ;Оператор линии в производстве пищевой продукции (бригада фаршевой линии нижаль);Бригада фаршевой линии Nijal отделения производства полуфабрикатов сырьевого цеха;;;;;;;1;;;;;1;1;;;1
268      ;Оператор очистных сооружений;Вспомогательный участок отдела главного энергетика;;;;;1;;1;;;;;;1;;;1
1024     ;Руководитель вспомогательного участка;Вспомогательный участок отдела главного энергетика;;;;1;1;;1;;;1;1;1;1;;1;1
1050     ;Слесарь- сантехник (сменный);Вспомогательный участок отдела главного энергетика;;;;1;1;;1;;;1;1;1;1;;1;1
118      ;Слесарь-сантехник;Вспомогательный участок отдела главного энергетика;;;;1;1;;1;;;1;1;1;1;;1;1
Я0241    ;Старший оператор очистных сооружений;Вспомогательный участок отдела главного энергетика;;;;1;1;;1;;;1;1;1;1;;1;1
Я0242    ;Старший слесарь-сантехник;Вспомогательный участок отдела главного энергетика;;;;1;1;;1;;;1;1;1;1;;1;1
Я0274    ;Контролер (КТ16);Группа информационного обеспечения планово-производственного отдела;;1;;;;;1;;;;;1;1;;;1
Я0270    ;Оператор по вводу информации (3,5,6,7,9,16,19);Группа информационного обеспечения планово-производственного отдела;;;;1;1;;1;;;;;;1;;1;1
Я0271    ;Оператор по вводу информации (КТ 15);Группа информационного обеспечения планово-производственного отдела;;;;;;;1;;;;;1;1;;;1
Я0273    ;Оператор по вводу информации (КТ 17,18,20,21);Группа информационного обеспечения планово-производственного отдела;;;1;;;;1;;;;;1;1;;;1
Я0272    ;Оператор по вводу информации (КТ10);Группа информационного обеспечения планово-производственного отдела;;;;;;;1;;;;;1;1;;;1
70       ;Инженер-наладчик;Группа по метрологии и автоматике отдела главного механика;;;;;;;1;;;1;1;1;1;;1;1
К98      ;Наладчик КИП и А;Группа по метрологии и автоматике отдела главного механика;;;;;;;1;;;1;1;1;1;;1;1
Я0278    ;Слесарь КИПиА;Группа по метрологии и автоматике отдела главного механика;;;;;;;1;;;1;1;1;1;;1;1
99РП     ;Базис- администратор систем SAP ERP и хранилищ данных SAP BI;Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
К40      ;Младший специалист по нормативно- справочной информации (SAP- ERP);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
99РСт    ;Младший специалист по управлению производством (SAP-PP);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
Я0295    ;Программист системы SAP;Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
Я0359    ;Специалист по логистике (SAP-MM);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
Я0112    ;Специалист по управлению производством (SAP-PP);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
Я0211    ;Специалист по управлению процессами качества на производстве и в логистике;Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
99РМ     ;Специалист- разработчик по хранилищам данных и системам отчетности (SAP BI);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
199Р     ;Старший специалист по бухгалтерскому учету (SAP FI);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
199РП    ;Старший специалист по логистике (SAP-Sapply Chain);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
68РИ     ;Старший специалист по нормативно- справочной информации систем (SAP ERP);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
199Рр    ;Старший специалист по управленческому учету (SAP-CO);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
Я0296    ;Старший специалист по управленческому учету (SAP-СОРС);Группа технической поддержки системы SAP отдела информационных технологий;1;;;;1;;1;;;;;;1;;;1
1Р       ;Генеральный директор;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Я0396    ;Главный бухгалтер;Дирекция;1;;;;1;;1;;;;;;1;;;1
8885.    ;Заместитель ген.директора по внедрению стратегических информационных технологий и систем управления;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Я0397    ;Заместитель генерального директора - главный инженер;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9911.    ;Заместитель генерального директора по внутреннему администрированию;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8883.    ;Заместитель генерального директора по качеству;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Я0188    ;Заместитель генерального директора по маркетингу;Дирекция;1;;;;1;1;1;;;;;;1;1;;1
Я0116    ;Заместитель генерального директора по общим вопросам;Дирекция;1;;;;1;1;1;;;;;;1;;;1
8884.    ;Заместитель генерального директора по персоналу;Дирекция;1;;;;1;1;1;;;;;;1;;;1
Я0157    ;Заместитель генерального директора по развитию;Дирекция;1;1;1;;1;1;1;;;;;1;1;1;;1
Я0130    ;Заместитель генерального директора по управлению цепочками поставок;Дирекция;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
99РБ     ;Заместитель генерального директора по экономике и финансам;Дирекция;1;;;;1;;1;;;;;;1;;;1
Я0140    ;Менеджер (по прогнозу спроса и анализу продаж);Коммерческая служба;1;;;;1;;1;;;;;;1;;;1
Я0253    ;Менеджер проекта (CRM);Коммерческая служба;1;;;;1;;1;;;;;;1;;;1
132      ;Машинист холодильных установок;Компрессорная станция отдела главного энергетика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
1022     ;Механик (холодильных установок);Компрессорная станция отдела главного энергетика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
234      ;Наладчик КИПиА ;Компрессорная станция отдела главного энергетика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
1023     ;Руководитель компрессорной станции;Компрессорная станция отдела главного энергетика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
Я0127    ;Слесарь по ремонту и обслуживанию систем вентиляции и  кондиционирования;Компрессорная станция отдела главного энергетика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
163      ;Аппаратчик химводоочистки;Котельная;;;;;1;;1;;;;;;1;;;1
134      ;Оператор котельной;Котельная;;;;;1;;1;;;;;;1;;;1
1025     ;Руководитель котельной;Котельная;;;;;1;;1;;;;;;1;;;1
81       ;Слесарь КИПиА;Котельная;;;;;1;;1;;;;;;1;;;1
9980     ;Слесарь по ремонту парового оборудования;Котельная;;;;;1;;1;;;;;;1;;;1
.10.     ;Старший оператор котельной;Котельная;;;;;1;;1;;;;;;1;;;1
0047     ;Врач-микробиолог;Лаборатория;;;;;1;;1;;;;;;1;;;1
753      ;Инженер- химик;Лаборатория;;;;;1;;1;;;;;;1;;;1
94Рр     ;Лаборант;Лаборатория;;;;;1;;1;;;;;;1;;;1
991      ;Руководитель лаборатории;Лаборатория;1;;;;1;;1;;;;;;1;;;1
Я0366    ;Внутренний аудитор;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0207    ;Директор по развитию продаж в регионах;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0151    ;Координатор (СПб);Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0230    ;Менеджер по маркетингу;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0287    ;Мерчендайзер (СПб);Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0240    ;Промоутер;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0215    ;Супервайзер;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
Я0051    ;Супервайзер по розничным продажам;Обособленное подразделение в Санкт-Петербурге;1;;;;1;;1;;;;;;1;;;1
